positiveRatio,price,storeName,title
99%,¥34.80,ESR自营旗舰店,亿色（ESR）苹果7plus/8Plus手机壳iPhone7/8 Plus保护套5.5英寸透明硅胶图案个性女款软壳全包防摔-浪漫樱花
95%,¥14.85,酷蛙旗舰店,酷蛙（QOOWA）苹果X耳机防尘塞充电口防尘塞 适用iphone6s/7/8 四件装防尘塞 苹果 气质银【送精美收纳盒+收纳器】苹果 气质银【送精美收纳盒+收纳器】
96%,¥23.90,甄新鲜旗舰店,甄新鲜 甘肃花牛苹果5斤/箱 单果径80mm起 粉苹果可刮泥圣诞果平安果
98%,¥26.00,倍思（Baseus）自营旗舰店,倍思 苹果数据线 快充弯头数据线手机充电器线 iPhoneXS/max/XR/8/7/6s plus/5s游戏加长电源线3米 红色
99%,¥86.00,畅动旗舰店,畅动苹果11/XR/XS手机壳pro/iPhoneXsMax女款潮男xr手机壳新款防摔卡通保护套 x/xs刺绣熊枣红+挂绳+钢化膜x/xs刺绣熊枣红+挂绳+钢化膜
96%,¥47.50,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果转接头Lightning+3.5mm耳机口听歌充电二合一数据线手机转换器适用iPhoneX/8/7 Plus 银黑苹果转接头-苹果+3.5MM音频口 银
98%,¥30.00,索弘自营旗舰店,【精选】苹果8手机膜水凝膜iphone8p苹果7plus钢化膜全屏覆盖软膜贴膜前后膜高清曲面防摔 苹果7/8水凝膜【高清前膜】2片装-送神器苹果7/8水凝膜【高清前膜】2片装-送神器
98%,¥1999.00,屹林宏业数码专营店,Apple苹果AirPods Pro原装主动降噪3代无线蓝牙耳机手机iPhone11ProMax通用 Apple AirPods Pro【2019新款】 苹果版
95%,¥16.90,ESCASE自营旗舰店,ESCASE 【两片】苹果XS Max钢化膜 iphone11pro Max钢化膜手机贴膜非全屏覆盖高清防爆玻璃手机贴膜前膜【2片备用】高清钢化膜玻璃
93%,¥24.90,喵喵鲜生鲜专营店,（第二件9.9元）喵喵鲜 苹果 5斤装 甘肃庆阳红富士 非栖霞苹果 新鲜水果 脆苹果 生鲜
96%,¥19.00,序歌旗舰店,序歌 iPhoneX/Xs/XR/XSmax手机壳 苹果透明/磨砂保护套 防摔超薄硅胶软套 男女潮款 磨砂白【5.8英寸苹果X/XS通用】磨砂白【5.8英寸苹果X/XS通用】
96%,¥39.00,梵帝西诺（VDSN）自营旗舰店,【送钢化膜】梵帝西诺 苹果XR手机壳 德国进口拜耳材质 iphone xr手机壳 双料抗黄变苹果防摔壳6.1英寸 高透
95%,¥26.80,鸷鸢家居专营店,创意数据线保护套苹果手机电源线防断裂保护线耳机绕线器理线器iPhone充电器保护绳缠线器 布朗熊五件套布朗熊五件套
94%,¥99.00,乔嘉（JoJar）自营旗舰店,JoJar苹果数据线手机快充头充电器线USB电源线套装iPhone11 pro/XS/MAX/6s/7/8/plus/XR/X/ipadpro平板5W充电器+1米数据线套装
94%,¥69.00,罗马仕自营旗舰店,罗马仕 ROMOSS WF04Z 无线充电器7.5W定频苹果X/iphone8/8plus手机无线快充头三星S8/S7edge安卓通用充电板
99%,¥39.90,蜂翼自营旗舰店,蜂翼 苹果PD充电器快充套装 18WPD快充头+PD快充数据线Type-C转Lightning 适用iPhone11/xr/xs手机/平板 白色
96%,¥31.90,文果旗舰店,文果 烟台栖霞 黄金奶油富士苹果5斤装 中大个
96%,¥34.00,纯真鲜果生鲜专营店,纯真鲜果 山东烟台红富士苹果 5斤 生鲜水果
97%,¥119.00,数锐自营旗舰店,数锐 苹果快充PD套装充电器18W数据线适用iphone11ProMax/8/X/XR/XS PD一米线+18W【PD闪充头】PD一米线+18W【PD闪充头】
95%,¥35.00,瓦力（valea）自营旗舰店,【全屏防偷窥】瓦力（VALEA） 苹果8 plus/7p 钢化膜 iphone 8p/7 p钢化膜全屏覆盖防窥贴膜 白色(5.5吋)【全屏防偷窥】8p/7p白色
98%,¥9.90,蜂翼自营旗舰店,【两件装】蜂翼 安卓苹果转接头转换头 Micro USB转Lightning充电数据线 支持iphoneXSMax/XR/X/8/7P/6S 白【2个装】苹果转接头 白
97%,¥19.90,倍思（Baseus）自营旗舰店,倍思 苹果数据线 手机充电线usb2.4A快充线 适用苹果5/6S/7/8Plus/Max/XR/XS iPad Air/Pro充电器线 1M 白
99%,¥38.00,倍思（Baseus）自营旗舰店,倍思三合一数据线 苹果iphoneX/8/6splus/7安卓type-c手机充电线一拖三华为三星小米平板三头传输通用 黑【三头数据传输】带灯 一拖三 黑
98%,¥12.90,瓦力（valea）自营旗舰店,【两片装】瓦力(VALEA) 苹果8 plus/7p/6sp/6 p钢化膜 iPhone8p/7p/6sp/6p钢化膜 高清手机玻璃膜非全屏(5.5吋)【2片装】8p/7P/6sp/6P
97%,¥15.90,朗客自营旗舰店,【3片装】朗客苹果11promax/XS Max钢化膜 iphone11promax/XS Max手机膜【隐形不碎边】高清防爆防指纹一体玻璃【隐形无边框】超清高透
97%,¥16.90,瓦力（valea）自营旗舰店,【三片装】瓦力（VALEA） 苹果8 plus/7 plus/6p/6s p钢化膜 iPhone 8 Plus/7Plus/6sPlus钢化膜非全屏(5.5吋)【3片装】-6P/6sP/7P/8P
100%,¥49.00,倍诺佳自营官方旗舰店,倍诺佳 苹果aux音频线车用车载链接线转换线转接头iPhone11pro/7plus/8/xsmax Lightning转3.5mm转接头1米Lightning转3.5mm转接头1米
97%,¥39.00,Benks自营旗舰店,邦克仕(Benks)苹果iPhone8 Plus/7 Plus全屏磨砂钢化膜 手游磨砂手机保护贴膜 7P/8P钢化玻璃膜 不碎边 黑色全屏不碎边 磨砂款 0.23mm黑色
99%,¥13.90,ROCK自营旗舰店,ROCK 苹果充电器 单口手机充电头 支持iPhone11Pro/max/XS/XR/8Plus/7/6s/5/iPad华为荣耀小米三星1A 黑色
95%,¥188.00,大商无算数码专营店,Apple iPhone X 硅胶保护壳 苹果原装正品 苹果X手机壳/保护套 黑色黑色
97%,¥28.00,苍泽数码专营店,德甲士擦苹果手机iPhone屏幕清洗液听筒喇叭孔扬声器话筒充电口缝隙灰尘清理工具笔记本电脑清洁剂套装 五件套五件套
99%,¥129.00,公牛数码自营旗舰店,公牛(BULL)无线充电器GNV-WA110U OPJ优质产品 苹果iPhoneX/XS MAS/XR/小米华为 支持苹果和三星10W快充无线充电
97%,¥12.90,瓦力（valea）自营旗舰店,【两片装】瓦力（VALEA） 苹果8/7/6s/6钢化膜 iPhone8/7/6s/6钢化膜 高清手机玻璃膜保护贴膜(4.7吋)【2片装】-苹果8/7/6s/6
100%,¥19.90,慧多多自营旗舰店,慧多多 苹果11pro max手机壳iPhone11保护套液态硅胶软壳磨砂潮男女防尘防摔纯色简约潮流 iPhone11【薰衣草灰】液态硅胶 iPhone11【薰衣草灰】液态硅胶
98%,¥7.90,山泽数码自营旗舰店,山泽 苹果数据线 iPhone11Pro/Xs Max/XR/7plus/8手机快充充电器线电源USB充电头线1米经典白
98%,¥105.00,绿联旗舰店,绿联 PD充电器30W快充头兼容18W通用任天堂苹果MacBook/iPhone11Pro/XS手机 苹果闪充套装1米（仅适用于苹果手机）苹果闪充套装1米（仅适用于苹果手机）
96%,¥11.90,雷深自营旗舰店,雷深（Leishen） 苹果数据线Xs Max/XR/8/7手机数据线USB电源线1米 支持iPhone6s/7P/8/iPad标准1米苹果数据线
97%,¥24.80,樱慕晴旗舰店,樱慕晴 辽宁大连黄元帅苹果5斤装 黄金帅甜粉沙面金帅平果脆香蕉苹果 新鲜水果10 黄元帅【5斤装/箱】
99%,¥22.90,公牛赞牛专卖店,公牛港版转换插头 英标中国香港苹果iPhoneXs/8手机充电转换插头转换器 戴森电器电源插座转接头 无USB港版转换插头GN-L01CE无USB港版转换插头GN-L01CE
98%,¥29.90,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果数据线/充电线快充带灯智能断电 适用iPhoneX/8/6/6s/7/7Plus/iPad4/5/Pro/mini3/4 1米 黑
89%,¥9.90,忆音旗舰店,忆音 苹果数据线iphone11XsMaxXR876splus手机快充充电器线USB 苹果 【1米】
93%,¥59.00,ESCASE自营旗舰店,ESCASE 苹果iphone8/7plus手机壳抖音同款网红万磁王iphone7/8plus手机壳新款防摔潮牌iphone玻璃壳 透明黑边【抖音同款 磁吸】透明黑边
97%,¥1097.00,屹林宏业数码专营店,Apple airpods2 苹果原装无线蓝牙耳机二代正品入耳式耳机iPhone11ProMax通用 AirPods 2代（配充电盒） H1芯片 苹果原装 全国联保AirPods 2代（配充电盒） H1芯片
98%,¥19.90,瓦力（valea）自营旗舰店,瓦力（VALEA）苹果x手机壳iPhone X/10透明保护套 5.8英寸电镀手机套轻薄硅胶全包防摔软壳 电镀银透明电镀软壳（银色）
98%,¥429.00,Apple产品自营旗舰店,Apple iPhone 8 Plus/7 Plus 皮革手机壳/手机套 - 黑色
99%,¥35.90,江铭自营旗舰店,JM 苹果X手机壳iPhone8Plus防摔软XR保护套XSMAX磨砂7P卡通超薄6s女款情侣个性 小梅花鹿 苹果iPhone X小梅花鹿
97%,¥79.00,迅美乐旗舰店,【次日达】苹果11pro充电器18W快充头套装8plus/xs/xr/xsmax/ipad平板数据线 18W闪充头+USB-C数据线【半小时充50%】
97%,¥34.00,纯真鲜果生鲜专营店,纯真鲜果 山东烟台黄金奶油富士苹果 5斤 生鲜水果
97%,¥6.90,捷信传奇数码专营店,启瑟 苹果按键贴6s/7/8指纹识别解锁贴膜iphone6/7plus手机home键贴 指纹识别HOME键贴*炫酷黑【2片装】指纹识别HOME键贴*炫酷黑【2片装】
96%,¥15.00,摩奇思自营旗舰店,摩奇思(mokis)苹果数据线充电线移动电源短线iphone11/XS/ MAX/XR/8/7/6/5/plus/ipad 14CM 白色
96%,¥129.00,插画师自营旗舰店,插画师手机镜头超广角微距鱼眼摄影摄像头外置专业单反拍照抖音神器苹果iphonexs华为小米通用高清五合一套装
99%,¥26.10,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果数据线 可伸缩弹簧便携车载车充手机充电器线 适用iPhoneX/8/6S/6/7 Plus/5S/5/SE ipad 黑
97%,¥29.00,依斯卡(ESK)自营旗舰店,依斯卡(ESK) 苹果iphonex手机壳 全包防摔透明超薄硬壳水晶壳 抖音男女同款 JK385-透明白
96%,¥35.80,超萌旗舰店,超萌 苹果8/7/6s钢化膜iPhone8 plus全屏覆盖防窥防偷看高清抗蓝光磨砂防指纹防爆手机膜 苹果8P/7P/6P【黑色高清2片装】5.5寸通用苹果8P/7P/6P【黑色高清2片装】5.5寸通用
94%,¥38.90,源外水果旗舰店,【第二件5折+顺丰】正宗新疆阿克苏冰糖心苹果 5斤装精选大果 生鲜红富士 新鲜水果 约9个左右
99%,¥29.90,金洲鸿盛官方旗舰店,金洲鸿盛iPhone11镜头膜苹果11ProMax钢化膜iphone11pro玻璃后摄像头贴膜保护圈 iphone11 6.1 英寸 镜头金刚玻璃膜iphone11 6.1 英寸
98%,¥19.90,技光自营旗舰店,技光（JEARLAKON）懒人手机支架 多功能ipad桌面平板支架 苹果iphone华为通用便携床头直播手机架经典款（兼容手机平板）太空银
99%,¥19.90,摩米士自营旗舰店,摩米士MOMAX苹果X/Xs/11Pro钢化膜iPhoneX/Xs/11pro钢化玻璃膜非全屏手机贴膜0.3mm【高清0.3mm】★5.8苹果X/XS
98%,¥23.90,插画师自营旗舰店,插画师 苹果7/8手机壳 iPhone8/7保护套红色 4.7英寸磨砂超薄防摔保护硬壳个性全包女款潮牌 锋尚-中国红
96%,¥29.00,悦可自营旗舰店,悦可 苹果X/XS手机壳/保护套 iPhoneX/XS布纹全包防摔手机软壳/保护壳-灰色-5.8英寸
89%,¥19.90,ESCASE自营旗舰店,ESCASE 魔力手机桌面支架 硅胶双面吸盘直播家居车载魔术支架 华为iphone11 Pro小米三星ipad平板ES-20星光银双面吸盘支架-星光银
97%,¥19.90,KEKLLE自营旗舰店,KEKLLE 苹果8/7/6s/6plus钢化膜 iPhone8/7/6s/6plus保护膜 自动吸附非全屏覆盖高清防爆贴膜【2片装】高清透明【2片装】
98%,¥16.80,昶翔手机配件专营店,VASQUE苹果6/6s手机壳iphone6splus保护套防摔 硅胶全透明软壳全包磨砂软壳潮牌 苹果6/6s防摔壳送全屏钢化膜+指环扣苹果6/6s防摔壳送全屏钢化膜+指环扣
98%,¥19.90,爱美声旗舰店,爱美声 苹果数据线 iPhoneXS/XR/X/6s/7plus/8p手机快充充电器线 中国红1.5米【买一送一】中国红1.5米【买一送一】
98%,¥129.00,坤蓬数码专营店,Apple苹果原装USB-C转闪电连接线iphone11pro max数据线适用PD18W快充充电器 1米数据线【非USB接口】1米数据线【非USB接口】
98%,¥13.90,罗马仕自营旗舰店,罗马仕 ROMOSS CB12B 苹果数据线充电线手机2.4a快充充电器线iPhoneX/XR/Xs/8/7p/6/ipad电源线 灰黑色1米
93%,¥999.00,大商无算数码专营店,Apple苹果原装iphone11Pro智能电池壳背夹式充电宝/11Pro保护壳全包无线充电移动电源 黑色黑色
96%,¥49.90,Smorss自营旗舰店,Smorss 苹果Xs Max/XR/X无线充电器 无线快充 支持iPhone8/8Plus/三星S7/9/8+ 通用小米/华为 10W快充
97%,¥19.90,ESCASE自营旗舰店,ESCASE 数据线三合一苹果充电器线一拖三适用Type-c安卓iPhone 11 pro 华为Mate 30 Pro小米快充多功能C15S金【苹果&安卓&Type-c】1米香槟金
97%,¥39.00,邦克仕旗舰店,邦克仕（Benks）苹果8/7钢化膜iPhone7 Plus手机膜非全屏全覆盖玻璃膜手机贴膜 【苹果7P/8P】-不易碎边高清版-0.23mm【苹果7P/8P】-不易碎边高清版-0.23mm
98%,¥89.10,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果X无线充电器横/竖/卧快充桌面手机支架 支持iPhoneX/8Plus/小米mix2s/三星S9/7/S6 edge 黑
93%,¥39.00,依斯卡(ESK)自营旗舰店,依斯卡(ESK) 苹果8/7钢化膜防窥 全屏覆盖 防偷看钢化膜 iPhone8/7钢化膜 手机高清曲面防爆贴膜 JM347白【7/8-4.7英寸】防窥膜 白色
98%,¥24.90,农家新语旗舰店,农家新语 山东烟台红富士苹果5斤 脆甜新鲜水果 约9-11个
99%,¥28.80,ESR自营旗舰店,亿色（ESR）苹果X/XS手机壳 iPhonex/xs保护套透明超薄TPU硅胶全包防摔软壳升级款男女通用百搭 零感-啫喱白
98%,¥25.90,凯利亚自营旗舰店,凯利亚 苹果数据线 弯头手游戏快充充电线 1.8米 黑色 iPhoneX/XS/Max/XR/8/7/6s/6/7plus/ipad 充电器电源线双弯头苹果 1.8米 黑色
98%,¥15.90,蜂翼自营旗舰店,蜂翼 苹果XS Max手机壳 iPhoneXS Max磨砂保护套 全包防摔防指纹男女款磨砂软壳-绅士黑-6.5英寸磨砂软壳【绅士黑】
99%,¥19.00,毕亚兹(BIAZE)自营旗舰店,毕亚兹 手机挂绳 挂脖/胸牌挂绳 挂脖绳 适用于苹果iPhoneX/三星/华为/小米/魅族/OPPO JK285-运动黑手机运动挂绳-黑色
97%,¥25.00,毕亚兹(BIAZE)自营旗舰店,毕亚兹 苹果Xs max手机壳 iPhoneXs max保护套 6.5英寸 全包防摔透明硅胶TPU软壳 清爽系列 JK465-透明白轻薄手感【气囊防摔】透明白
98%,¥29.90,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果数据线/充电线快充带灯智能断电 适用iPhoneX/8/6/6s/7/7Plus/iPad4/5/Pro/mini3/4 1米 红
97%,¥89.00,绿联旗舰店,绿联苹果快充PD充电器18W套装数据线通用iPhone11Pro/XSMax华为三星小米手机插头 苹果MFi认证PD快充套装 黑色1米苹果MFi认证PD快充套装 黑色1米
94%,¥22.80,中国特产·庆阳农特产馆,【坏损包赔】正宗甘肃庆阳红富士苹果5-10斤 新鲜水果 苹果 年货送礼品 苹果含箱5斤（第二份5折）
93%,¥21.80,鲜菓篮旗舰店,鲜菓篮 苹果 新鲜水果脆甜丑苹果 5斤装钻石果红富士苹果
94%,¥45.00,贾淼旗舰店,【顺丰速运】大凉山苹果当季冰糖心野生丑苹果5斤净重当季大果果径80-85mm红富士 大果果径80--85mm大果果径80--85mm
98%,¥15.90,毕亚兹(BIAZE)自营旗舰店,毕亚兹 苹果数据线Xs Max/XR/X/11Pro手机快充充电器线USB电源线 镀金1.88米 K26白 支持iphone6s/8/7P/ipad【快充1.88米】白色
98%,¥29.90,奥多金自营旗舰店,奥多金 苹果XSmax手机壳 气囊防摔透明全包保护套软壳 适用于苹果iPhone XS Max手机套 【送2片全屏钢化膜】防摔手机壳
97%,¥164.90,Biaze(毕亚兹)自营旗舰店,毕亚兹(BIAZE)128GB Lightning USB3.0 苹果U盘 U4-银 iPhone/iPad双接口存储盘 手机电脑两用扩展内存USB3.0/苹果高速U盘
96%,¥33.90,江铭自营旗舰店,JM 苹果11镜头保护膜iphone11手机后摄像头保护膜苹果11一体式钢化镜头膜 苹果11 镜头保护膜透明
93%,¥32.90,沐古（MUGU）自营旗舰店,沐古 MUGU 苹果11钢化膜 苹果iPhoneXR/11全屏覆盖手机贴膜钢化玻璃膜全屏覆盖【蓝光钢化膜】
97%,¥14.90,Smorss自营旗舰店,Smorss iPhone 11pro max/iPhone XS Max钢化膜手机膜 苹果xs max/苹果11pro max通用玻璃保护贴膜6.5英寸
98%,¥106.82,ESR自营旗舰店,亿色（ESR）无线充电器 7.5W苹果快充 支持iPhoneX/Xs/Xs Max/XR 小米MIX2S/三星S8/9/通用充电底座-魔力黑魔力黑【苹果专用7.5W】
98%,¥29.90,奥多金自营旗舰店,奥多金 苹果X/XS手机壳 气囊防摔透明全包保护套软壳 适用于苹果iPhone X/XS通用手机套 【送2片全屏钢化膜】防摔手机壳
98%,¥35.90,江铭自营旗舰店,JM 苹果XSMAX手机壳新年款鼠年手机壳本命年喜庆红色iPhone8Plus防摔软XR保护套7P 苹果6Plus/6sPlus-发财猫苹果6Plus/6sPlus-发财猫
99%,¥40.50,倍思（Baseus）自营旗舰店,倍思 一拖三数据线苹果/Type-C/安卓手机三合一 iPhoneXS/MAX/XR/7/8P/ipad/小米华为mate20充电器线1.2米 红
98%,¥19.90,维肯旗舰店,【次日达】维肯 运动手机臂包臂套跑步运动臂带男女包壳臂袋苹果X/8iphone7小米8OPPO华为 黑色【通用6.3英寸以下手机】黑色【通用6.3英寸以下手机】
100%,¥76.00,Richmond&Finch官方旗舰店,Richmond&Finch新品iPhone11/11Pro/11ProMax超薄透明防摔保护手机壳 透明色 iPhone X/Xs透明色
98%,¥12.50,闪魔旗舰店,闪魔 苹果按键贴6s/7/8指纹识别解锁贴膜iphone6/7plus手机home键贴 黑边 黑色黑边
96%,¥19.90,蜂翼自营旗舰店,蜂翼 苹果11 Pro Max/XS Max钢化膜9D弧边iPhone11 Pro Max/XS Max全屏高清覆盖防爆全玻璃手机膜-黑色高清钢化膜9D弧边-黑色
94%,¥19.90,毕亚兹(BIAZE)自营旗舰店,毕亚兹 苹果数据线Xs Max/XR/X/11Pro手机快充充电器线USB双面电源线2米 K16白色 支持iphone6s/8/7P/ipad2米
98%,¥79.90,维肯旗舰店,维肯 无线充电器快充 苹果iPhoneX/8Plus三星s8+/s9+/note8/小米mix2s 【快充 安全 支架】黑色升级款 ★充满智能断电
98%,¥41.90,江铭自营旗舰店,JM 苹果X手机壳iphone8plus防摔玻璃XR情侣男女款xsmax可爱卡通7p个性创意6s 浅底帽子熊 苹果iPhone 7Plus/8Plus浅底帽子熊
96%,¥29.00,YOMO自营旗舰店,YOMO iphone苹果11ProMax钢化膜/苹果XsMax钢化膜 手机膜 9D全屏覆盖无白边玻璃膜 高清防刮手机膜 黑色
96%,¥22.80,艺派数码旗舰店,艺派 苹果8plus钢化膜iphone7磨砂防指纹6/7/8抗蓝光6s plus手机保护贴膜 适用于 苹果6/7/8防指纹【抗蓝光磨砂钢化膜】苹果6/7/8防指纹【抗蓝光磨砂钢化膜】
92%,¥46.00,中国特产·天津馆,甘肃扶贫富士苹果 光果不套袋75-80左右生鲜苹果 新鲜苹果 5kg带箱
96%,¥9.50,沃尼森数码专营店,惠舟 iPhoneX钢化膜高清全屏手机贴膜 适用于苹果X/iPhone XS/苹果Xs 精灵黑精灵黑
99%,¥33.00,贞观手机配件专营店,苹果11钢化膜iPhoneX/XS/XR/11Pro/ProMax/7手机膜 全屏覆盖防爆玻璃钢化膜 苹果x/xs/11Pro通用【高清全屏曲面膜】黑色苹果x/xs/11Pro通用【高清全屏曲面膜】黑色
97%,¥12.80,闪电数码专营店,今舞 苹果XR手机壳超薄磨砂iphonexr全包防摔半软硬壳女男款通用商务PP类硅胶外壳保护套 透明黑透明黑
95%,¥35.90,源外水果旗舰店,【第二件5折】新疆阿克苏黄金奶油富士 黄元帅冰糖心苹果5斤装 脆甜多汁新鲜水果 中果（约10个左右）中果（约10个左右）
98%,¥23.00,毕亚兹(BIAZE)自营旗舰店,【3条装】毕亚兹 苹果数据线XsMax/XR/X/7/8P手机快充充电器线USB电源线1.2米支持iPhone11Pro/6s/iPad K15白【经典款】3条
95%,¥25.00,依斯卡(ESK)自营旗舰店,依斯卡(ESK) 苹果iPhone8/7/6s/6钢化膜【两片装】抗蓝光 一体全玻璃手机高清防爆保护贴膜-JM177【4.7蓝光】两片装★i8/7/6S/6
97%,¥12.90,瓦力（valea）自营旗舰店,瓦力（VALEA） 苹果8 plus/7 plus/6p/6s p钢化膜 iPhone 8 plus/7 plus/6p/6s p钢化膜抗蓝光非全屏膜抗蓝光【1片装】
97%,¥29.00,依斯卡(ESK)自营旗舰店,ESK 苹果x/xs/11 pro钢化膜 iphone x/xs/11 pro手机膜 抗蓝光【两片装 】手机高清透明保护贴膜非全屏 JM201苹果x/xs/11pro★【2片装】蓝光
95%,¥138.00,0度（PERFECTSIGHT） 自营旗舰店,美国0度 苹果iPhone11Promax/Xs max钢化膜 防窥防偷看手机贴膜 防指纹抗蓝光防眩护眼屏保【防窥版】iPhone11promax/Xs max通用
97%,¥39.90,京鲜坊旗舰店,【鲜配】京鲜坊 烟台栖霞苹果红富士苹果 5斤装 一级果径80-85mm 脆甜多汁 酸甜爽口
88%,¥19.90,慧多多自营旗舰店,【精选2片装】慧多多 苹果11镜头膜钢化保护膜iphone11Pro/Max手机后摄像头全复盖玻璃膜 苹果11镜头膜【6.1英寸适用】 苹果11镜头膜【6.1英寸适用】
98%,¥99.00,瓦力（valea）自营旗舰店,瓦力 苹果充电器套装pd18w快充头数据线闪充iPhone11Pro Max/X/Xs/XR/8/8plus/ipad双口24w手机USB插头【套装】PD充电头+苹果快充线
96%,¥39.90,乔威（JOWAY）自营旗舰店,乔威 苹果线充套装PD快充套装 18W快充充电器+PD充电线 适用于iPhoneXS/max/XR/X/8Plus 白色
97%,¥26.00,耐尔金自营旗舰店,耐尔金（NILLKIN）苹果iPhone XS Max手机壳 TPU透明软套/保护套/手机套 白色透明
98%,¥25.90,悦可自营旗舰店,悦可 iPhone Xs手机壳苹果iPhone Xs透明气囊全包防摔防指纹保护套硅胶超薄软壳【全透明】-5.8英寸
99%,¥99.00,摩米士自营旗舰店,摩米士（MOMAX）苹果MFi认证数据线充电线尼龙编织适用iphone11Pro/XsMax/XR/8/7/6sPlus手机iPad等2米灰色【2米长线】灰色
97%,¥28.90,品色手机配件专营店,缔造者苹果数据线充电线适用苹果5s苹果六七6s/plus iphoneX/7/8/SE/iPad充电 苹果数据线1.2米白色苹果数据线1.2米白色
96%,¥3.99,天道酬勤手机配件专营店,斯程 取卡针苹果iphoneSIM卡取卡器顶针器个性顶针手机换戳卡槽创意oppo华为
92%,¥25.90,果迎鲜官方旗舰店,（第二件9.9元）果迎鲜 花牛苹果 5斤装 甘肃天水红蛇果新鲜水果粉面苹果可刮泥 生鲜圣诞平安果
99%,¥26.70,亿色东方丝路专卖店,亿色（ESR）苹果7/8手机壳透明硅胶 iPhone7plus/8Plus保护套全包防摔防滑超薄网红 7plus/8plus【轻薄全透明】 送钢化膜7plus/8plus【轻薄全透明】 送钢化膜
97%,¥39.90,网易智造家电自营旗舰店,网易严选 网易智造 苹果Xs Max云感手机壳 iPhone Xs Max保护套 液态硅胶 防摔外壳 柔软壳 深空黑深空黑
98%,¥59.00,ESCASE自营旗舰店,ESCASE iphone xs max手机壳苹果xs max保护套透明全包防摔气囊真玻璃 6.5英寸德国拜耳抗黄变 XS1高透升级版【真玻璃气囊防摔款】透明
98%,¥37.90,插画师自营旗舰店,插画师 iPhone xs max手机壳苹果xs max保护套 液态硅胶磨砂软壳全包防摔网红抖音款 男女款 雅格-黑
96%,¥59.00,Snowkids自营旗舰店,Snowkids 苹果数据线 11Pro/XsMax/XR/X/8/7手机快充充电线USB电源线通用iphone6s/7Plus/ipad1.2米铠甲
99%,¥25.00,毕亚兹(BIAZE)自营旗舰店,毕亚兹 苹果XS手机壳 iPhoneXS保护套 5.8英寸 全包防摔透明硅胶TPU软壳 清爽系列 JK520-透明白轻薄手感【还原裸机】清爽透明白
93%,¥33.90,江铭自营旗舰店,JM 苹果11Pro Max镜头膜保护膜iphone11Pro Max手机后摄像头保护膜高清透明 苹果11pro/11ProMAX镜头膜透明
92%,¥22.50,宝工（Pro'sKit）工具自营旗舰店,宝工（Pro’skit)iPhone专用手机拆机维修撬棒苹果工具组（6件组)PK-9110
96%,¥89.00,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果8/X无线充电器 快速充电底座 折叠三用 支持手机iPhoneX/8/8 Plus/三星S9/S8/S7 edge 黑色
98%,¥26.80,凯彩旗舰店,【灰色/翡翠绿可选】凯彩 苹果6/6s/6plus/6s plus手机壳男女个性全包硅胶防摔保护套 6plus/6splus通用【灰色】送钢化膜6plus/6splus通用【灰色】送钢化膜
96%,¥65.00,ROCK自营旗舰店,ROCK 苹果充电器套装 PD快充头+Type-c转lightning数据线充电线 支持iPhone11Pro/max/XS/XR/8Plus 18W白色
98%,¥19.90,蜂翼自营旗舰店,蜂翼 苹果X/XS手机壳 iPhoneX/XS磨砂保护套 全包防摔防指纹男女款磨砂软壳-绅士黑-5.8英寸
98%,¥39.90,艾古官方旗舰店,艾古 苹果x/xr/xs手机壳 iPhoneXs Max高硬度钢化玻璃保护套 贝壳纹男女款情侣通用 【苹果XSmax】钢化玻璃壳【白色】【苹果XSmax】钢化玻璃壳【白色】
97%,¥17.91,名创优品自营旗舰店,名创优品（MINISO）入耳式立体声线控耳机SP390运动音乐通话耳机适用苹果安卓(白色)
98%,¥148.00,Anker自营旗舰店,Anker 小闪电 USB-C充电器PIQ3.0/PD30W苹果iPhone11Pro/XsMax/XR/8Plus/MacBook快充Type-C数据线插头适配器
98%,¥89.00,CYKE旗舰店,CYKE手机蓝牙自拍杆带三脚架拍照支架神器适用于苹果iphone78XRMAX华为小米/oppo通用 【全能一体式自拍杆】嵌入式遥控+三脚架+90CM高
96%,¥218.00,宝达莱数码专营店,宝达莱 苹果6/6s屏幕总成手机维修液晶玻璃内触摸外 屏适用iPhone6/6s/plus 6Splus白色(带配件)6Splus白色(带配件)
99%,¥22.90,维肯旗舰店,【2条装】维肯 苹果数据线充电器线 适用于iPhoneXS/XR/X/8/7/6s/5se/iPad 提速不伤机-简约白提速不伤机-简约白
96%,¥973.00,Apple无限专卖店,Apple 苹果2019款Airpods二代原装无线蓝牙耳机 2代新款H1芯片iPhone手机 2代H1芯片有线充电仓
99%,¥79.00,公牛数码自营旗舰店,公牛（BULL）GN-J7C10 MFI认证芯片苹果数据线 USB充电器线 抗折断 适用苹果手机iPhoneX/XS MAS/XR/ipad苹果数据线
93%,¥19.90,依斯卡(ESK)自营旗舰店,依斯卡(ESK) 苹果8/7/6s/6plus钢化膜 iphone8plus钢化膜【一体全玻璃】手机高清防爆保护贴膜JM105【5.5高清】★i8/7/6S/6 Plus
